,TotalTransactions,income,riskscore,subscribed,opened,SCRate,TRate,return-N6M,return-HYG,return-IVV,gen_F,gen_M,ed_Deg or abv,ed_H.Sch/Dip.,ed_Sec. or below
75,10877.281624814023,146376.7702,5,0,0,0.04,0.0,-0.014493,-0.039955000000000004,-0.096236,1,0,0,1,0
76,424.89785162519996,65867.60192,1,1,1,0.03,0.0,-0.0072465,-0.042044,-0.075958,0,1,0,0,1
77,-486.8145745414311,44717.690460000005,4,1,0,0.03,0.0,-0.043774,-0.022469,0.0036899999999999997,0,1,0,1,0
78,3279.54617595,103406.7678,3,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,1,0,0,1,0
79,4305.914952314504,174727.1356,4,0,0,0.04,0.0,0.0049625,-0.038695499999999994,-0.0803865,0,1,0,1,0
80,881.5566584216422,28266.481260000004,4,0,0,0.04,0.0,0.007121,-0.022425,-0.04503,0,1,1,0,0
81,1.3836461221217178e-07,225588.9938,2,1,1,0.03,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
82,-428.36456743916057,72475.91761,4,1,0,0.03,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,0,1,0
83,2.3980737751116976e-07,59015.26156,5,0,0,0.04,0.0,-0.016544,0.031439,0.090737,0,1,0,0,1
84,202.09474642708108,27015.88026,5,0,0,0.04,0.0,-0.019566999999999998,-0.022790499999999998,-0.026075000000000004,0,1,0,0,1
85,-1022.9349587788,78040.23845,2,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
86,-1125.8468024320002,64787.335289999995,1,0,0,0.0,0.003,-0.014493,-0.039955000000000004,-0.096236,0,1,1,0,0
87,-14764.894103336626,213595.9679,5,1,1,0.05,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
88,2.179843932026415e-07,46892.55928,5,1,0,0.04,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,0,1
89,24389.70084065181,269922.6477,5,1,0,0.0,0.004,-0.041937999999999996,0.009385,0.063593,0,1,0,0,1
90,2.237138687632978e-07,65713.69722,5,0,0,0.04,0.0,-0.016544,0.031439,0.090737,1,0,0,1,0
91,-3918.6633203999995,62748.94717000001,3,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
92,302.93662442460004,24267.040680000002,3,1,0,0.03,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,1,0
93,816.3460728992771,30865.233889999996,4,1,1,0.03,0.0,-0.015176666666666666,-0.016157,-0.033911666666666666,1,0,0,1,0
94,18337.9313799,280735.6274,1,0,0,0.0,0.003,0.007121,-0.022425,-0.04503,0,1,0,1,0
95,2679.0775743545464,56689.32715,3,1,1,0.03,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,0,1,0
96,190.88303026300002,14604.169730000001,1,0,0,0.03,0.0,-0.043774,-0.022469,0.0036899999999999997,0,1,0,0,1
97,2221.578849807874,119412.65400000001,4,0,0,0.03,0.0,-0.025620666666666667,0.013469666666666666,0.06172133333333333,0,1,0,1,0
98,-951.72432646365,53626.72526,4,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,1,0,0,1,0
99,-7.874996299506165e-08,55869.2043,2,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,1,0,0,1,0
100,-5186.208241496,95705.53487999999,1,0,0,0.0,0.003,-0.005844500000000001,-0.0474605,-0.10598950000000001,1,0,0,0,1
101,1636.0348031152853,37694.13155,3,0,0,0.0,0.003,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
